#time =  3.8000250E+02
#  y  y+  u  u+  v+  w+ uu+ vv+ ww+ uv+


#x =  1.0000000E+00
  3.223031253E-01  2.856767162E+02  8.300243399E-01  2.042752772E+01  2.685125149E-02 -3.744206225E-02  2.012842198E+00  9.386116149E-01  1.256690061E+00 -7.452231411E-01
  3.343225416E-01  2.963302505E+02  8.359393476E-01  2.057310054E+01  2.822811493E-02 -2.289217777E-02  1.968241886E+00  9.292563654E-01  1.250858671E+00 -7.263695648E-01
  3.467658122E-01  3.073594723E+02  8.420599109E-01  2.072373223E+01  2.971936636E-02 -1.089794898E-02  1.919253585E+00  9.174864203E-01  1.256206901E+00 -7.067144729E-01
  3.596466930E-01  3.187765745E+02  8.484640831E-01  2.088134376E+01  3.121093694E-02 -4.580488927E-03  1.871743129E+00  9.032390216E-01  1.264048029E+00 -6.894014302E-01
  3.729792981E-01  3.305940673E+02  8.551435388E-01  2.104573023E+01  3.236976115E-02 -4.966723886E-03  1.855394627E+00  8.850362654E-01  1.282550435E+00 -6.742962546E-01
  3.867781024E-01  3.428247806E+02  8.623040214E-01  2.122195513E+01  3.379936775E-02 -3.711296757E-03  1.764316207E+00  8.615259354E-01  1.272207804E+00 -6.606400190E-01
  4.010579434E-01  3.554818656E+02  8.691628758E-01  2.139075673E+01  3.508036339E-02 -6.293744430E-04  1.705503096E+00  8.374859816E-01  1.258425575E+00 -6.470780510E-01
  4.158340226E-01  3.685787966E+02  8.759752480E-01  2.155841437E+01  3.664838654E-02  1.728453485E-03  1.644267360E+00  8.156881933E-01  1.243933009E+00 -6.269975107E-01
  4.311219065E-01  3.821293710E+02  8.829065342E-01  2.172899857E+01  3.859565981E-02  2.148123625E-03  1.570967336E+00  7.966603623E-01  1.224726820E+00 -5.990291405E-01
  4.469375262E-01  3.961477094E+02  8.900292418E-01  2.190429380E+01  4.080615429E-02  6.710018985E-04  1.490301215E+00  7.798697493E-01  1.194195774E+00 -5.651097108E-01
  4.632971766E-01  4.106482552E+02  8.973297181E-01  2.208396405E+01  4.308974065E-02 -1.764954487E-03  1.411309423E+00  7.646005299E-01  1.147107446E+00 -5.285106816E-01
  4.802175150E-01  4.256457725E+02  9.047268723E-01  2.226601362E+01  4.529503697E-02 -3.972391919E-03  1.339986985E+00  7.503312154E-01  1.082794446E+00 -4.920695561E-01
  4.977155577E-01  4.411553441E+02  9.121039878E-01  2.244757002E+01  4.737900605E-02 -5.377719177E-03  1.275981288E+00  7.365088851E-01  1.006768750E+00 -4.569252050E-01
  5.158086769E-01  4.571923679E+02  9.193526634E-01  2.262596542E+01  4.941454427E-02 -6.881153414E-03  1.214108441E+00  7.218337892E-01  9.299852720E-01 -4.220804631E-01
  5.345145955E-01  4.737725527E+02  9.264243077E-01  2.280000394E+01  5.152907071E-02 -1.125326845E-02  1.150109965E+00  7.035822452E-01  8.651585466E-01 -3.851103899E-01
  5.538513808E-01  4.909119128E+02  9.333787111E-01  2.297115708E+01  5.379296394E-02 -2.222891828E-02  1.087545100E+00  6.782139671E-01  8.200415770E-01 -3.443098155E-01
  5.738374381E-01  5.086267618E+02  9.404100617E-01  2.314420394E+01  5.612450361E-02 -4.088472045E-02  1.037871754E+00  6.456810192E-01  7.885953465E-01 -3.024989361E-01
  5.944915007E-01  5.269337044E+02  9.474984651E-01  2.331865492E+01  5.813501980E-02 -4.623704728E-02  9.454244191E-01  6.095529409E-01  7.432759235E-01 -2.699795513E-01
  6.158326211E-01  5.458496276E+02  9.545799217E-01  2.349293493E+01  6.030967413E-02 -3.156174556E-02  8.297723832E-01  5.739273087E-01  6.961405050E-01 -2.311741527E-01
  6.378801582E-01  5.653916908E+02  9.615034284E-01  2.366332767E+01  6.256417130E-02 -1.159157118E-02  7.252699713E-01  5.410352229E-01  6.501048281E-01 -1.890397016E-01
  6.606537649E-01  5.855773131E+02  9.680202119E-01  2.382371065E+01  6.469392053E-02  6.024986196E-03  6.318860863E-01  5.091897986E-01  6.028697789E-01 -1.482475171E-01
  6.841733724E-01  6.064241610E+02  9.739578993E-01  2.396984164E+01  6.660917007E-02  1.632454361E-02  5.497104046E-01  4.770509725E-01  5.535426279E-01 -1.106471607E-01
  7.084591738E-01  6.279501329E+02  9.792305247E-01  2.409960494E+01  6.827736899E-02  1.738249852E-02  4.782712674E-01  4.440167566E-01  5.016708088E-01 -7.672434003E-02
  7.335316053E-01  6.501733424E+02  9.838338480E-01  2.421289622E+01  6.968384582E-02  1.034169871E-02  4.160154413E-01  4.102934781E-01  4.469799052E-01 -4.666402944E-02
  7.594113252E-01  6.731121004E+02  9.878213358E-01  2.431103131E+01  7.081758641E-02 -1.043460721E-03  3.604859933E-01  3.765874526E-01  3.899005468E-01 -2.086032882E-02
  7.861191913E-01  6.967848945E+02  9.912572743E-01  2.439559236E+01  7.168179586E-02 -1.153837314E-02  3.092527135E-01  3.434613292E-01  3.326728489E-01  1.753562024E-04
  8.136762361E-01  7.212103667E+02  9.941461519E-01  2.446668982E+01  7.231485001E-02 -1.645466566E-02  2.612531685E-01  3.105849146E-01  2.802812854E-01  1.633599212E-02
  8.421036387E-01  7.464072898E+02  9.963424601E-01  2.452074263E+01  7.278268145E-02 -1.481333449E-02  2.179562663E-01  2.764227956E-01  2.395846546E-01  2.830093889E-02
  8.714226961E-01  7.723945402E+02  9.974534879E-01  2.454808587E+01  7.306383857E-02 -1.389468748E-02  1.832259800E-01  2.393939635E-01  2.136128227E-01  3.654619973E-02
  9.016547902E-01  7.991910702E+02  9.971665407E-01  2.454102388E+01  7.274813204E-02 -2.174598503E-02  1.526765997E-01  2.018479498E-01  1.860204972E-01  3.550667481E-02
  9.328213537E-01  8.268158768E+02  9.977077551E-01  2.455434358E+01  7.240152628E-02  1.095980019E-03  1.173137235E-01  1.721862634E-01  1.533051822E-01  2.852059053E-02
  9.649438326E-01  8.552879690E+02  9.982229981E-01  2.456702410E+01  7.221829028E-02  9.955231097E-03  1.013883367E-01  1.507707039E-01  1.284340152E-01  2.658449944E-02
  9.980436462E-01  8.846263319E+02  9.986048082E-01  2.457642073E+01  7.201374314E-02  9.725450460E-03  9.233081842E-02  1.339662741E-01  1.091109697E-01  2.583228936E-02
  1.032142144E+00  9.148498893E+02  9.987903249E-01  2.458098644E+01  7.175502801E-02  4.712932528E-03  8.414919001E-02  1.198096162E-01  9.424629055E-02  2.451317054E-02
  1.067260562E+00  9.459774632E+02  9.987769265E-01  2.458065670E+01  7.147466306E-02 -1.465570805E-03  7.539290774E-02  1.074126722E-01  8.335994722E-02  2.223706063E-02
  1.103419972E+00  9.780277310E+02  9.986275843E-01  2.457698127E+01  7.120746641E-02 -5.980861030E-03  6.713364471E-02  9.640796740E-02  7.610263496E-02  1.931253642E-02
  1.140641232E+00  1.011019180E+03  9.984597517E-01  2.457285078E+01  7.096083622E-02 -6.935533540E-03  6.121161334E-02  8.651296096E-02  7.195404312E-02  1.625534398E-02
  1.178944930E+00  1.044970060E+03  9.984102621E-01  2.457163281E+01  7.072196136E-02 -3.649007546E-03  5.882274494E-02  7.728691003E-02  7.011829223E-02  1.352199881E-02
  1.218351330E+00  1.079898332E+03  9.985673994E-01  2.457550007E+01  7.049296534E-02  2.757222507E-03  5.950843949E-02  6.813066531E-02  6.955787433E-02  1.146584944E-02
  1.258880313E+00  1.115821615E+03  9.988601565E-01  2.458270505E+01  7.032355738E-02  8.222359453E-03  6.093069830E-02  5.852775306E-02  6.897310484E-02  1.039718865E-02
